Angle of Attack (deg) | Lift Coefficient (CL)
--------------------------------------------
                1.00 |               1.0000
              -10.00 |              -0.9689
               -8.79 |              -0.8279
               -7.59 |              -0.6866
               -6.38 |              -0.5451
               -5.17 |              -0.4034
               -3.97 |              -0.2615
               -2.76 |              -0.1196
               -1.55 |               0.0224
               -0.34 |               0.1645
                0.86 |               0.3065
                2.07 |               0.4484
                3.28 |               0.5902
                4.48 |               0.7319
                5.69 |               0.8733
                6.90 |               1.0146
                8.10 |               1.1555
                9.31 |               1.2961
               10.52 |               1.4363
               11.72 |               1.5760
               12.93 |               1.7153
               14.14 |               1.8541
               15.35 |               1.9923
               16.55 |               2.1298
               17.76 |               2.2667
               18.97 |               2.4028
               20.17 |               2.5382
               21.38 |               2.6727
               22.59 |               2.8063
               23.79 |               2.9390
               25.00 |               3.0707
